jointmoment_id,session_trial,time,elbow_moment_x,elbow_moment_y,elbow_moment_z,shoulder_thorax_moment_x,shoulder_thorax_moment_y,shoulder_thorax_moment_z,shoulder_upper_arm_moment_x,shoulder_upper_arm_moment_y,shoulder_upper_arm_moment_z,wrist_moment_x,wrist_moment_y,wrist_moment_z,glove_elbow_moment_x,glove_elbow_moment_y,glove_elbow_moment_z,glove_shoulder_glove_upper_arm_moment_x,glove_shoulder_glove_upper_arm_moment_y,glove_shoulder_glove_upper_arm_moment_z,glove_shoulder_thorax_moment_x,glove_shoulder_thorax_moment_y,glove_shoulder_thorax_moment_z,glove_wrist_moment_x,glove_wrist_moment_y,glove_wrist_moment_z,jointforce_id,elbow_force_x,elbow_force_y,elbow_force_z,shoulder_upper_arm_force_x,shoulder_upper_arm_force_y,shoulder_upper_arm_force_z,shoulder_thorax_force_x,shoulder_thorax_force_y,shoulder_thorax_force_z,wrist_force_x,wrist_force_y,wrist_force_z,glove_elbow_force_x,glove_elbow_force_y,glove_elbow_force_z,glove_shoulder_glove_upper_arm_force_x,glove_shoulder_glove_upper_arm_force_y,glove_shoulder_glove_upper_arm_force_z,glove_shoulder_thorax_force_x,glove_shoulder_thorax_force_y,glove_shoulder_thorax_force_z,glove_wrist_force_x,glove_wrist_force_y,glove_wrist_force_z,velo_id,elbow_velo_x,elbow_velo_y,elbow_velo_z,rear_hip_velo_x,rear_hip_velo_y,rear_hip_velo_z,rear_knee_velo_x,rear_knee_velo_y,rear_knee_velo_z,shoulder_velo_x,shoulder_velo_y,shoulder_velo_z,wrist_velo_x,wrist_velo_y,wrist_velo_z,pelvis_velo_x,pelvis_velo_y,pelvis_velo_z,glove_elbow_velo_x,glove_elbow_velo_y,glove_elbow_velo_z,lead_hip_velo_x,lead_hip_velo_y,lead_hip_velo_z,lead_knee_velo_x,lead_knee_velo_y,lead_knee_velo_z,glove_shoulder_velo_x,glove_shoulder_velo_y,glove_shoulder_velo_z,glove_wrist_velo_x,glove_wrist_velo_y,glove_wrist_velo_z,torso_velo_x,torso_velo_y,torso_velo_z,torso_pelvis_velo_x,torso_pelvis_velo_y,torso_pelvis_velo_z,session,user,date,level,lab,tag,height_meters,mass_kilograms,trial_count,good_files,bad_files,unused_files,report_files,created,updated,irb,comp_scores,drill_scores,video_report
2481246,498_1,0.0,-37.01,17.97,2.13,-69.08,-21.62,-8.16,-61.09,35.69,17.96,3.84,-6.75,0.34,-38.69,86.6,-5.2,-119.15,36.76,26.34,-66.9,-65.63,-86.07,19.91,-4.3,-1.63,2481246,-96.57,122.49,68.16,-126.79,-83.54,-221.34,68.31,258.78,16.29,-75.68,49.72,7.92,-84.93,318.22,68.95,198.88,-121.41,-147.86,-4.94,266.9,-71.42,-46.29,227.72,0.16,2481246,-32.76,1068.68,74.18,-59.77,6.86,12.41,-100.42,-43.36,16.65,53.0,-101.09,-22.43,-270.28,-557.63,321.17,11.26,-21.96,7.35,-47.36,-565.21,54.44,-6.52,-19.61,26.87,16.01,0.51,-0.06,-68.81,-49.42,-33.71,132.01,1.41,6.18,11.13,1.66,-13.05,24.63,21.61,22.15,498,,,,,,,,,,,,,,,,,,
2481247,498_1,0.0028,-20.41,4.6,1.51,-33.14,-14.7,-2.29,-31.76,17.42,4.57,0.81,-4.12,0.18,-21.63,50.75,-3.92,-63.72,22.7,17.8,-35.2,-33.12,-50.34,12.17,-2.36,-1.13,2481247,-57.51,55.62,36.15,-59.32,-35.66,-131.19,41.12,139.79,25.83,-45.38,14.52,8.49,-45.22,177.98,33.83,97.41,-58.48,-76.27,-2.34,133.44,-31.51,-25.41,136.48,-2.52,2481247,-49.52,1050.12,75.06,-57.62,-1.11,-11.93,-106.38,-44.54,17.12,39.19,-100.91,-23.36,-329.3,-483.83,270.25,9.64,-13.9,13.49,-40.39,323.14,-38.87,-7.14,-8.97,35.32,4.43,-6.31,0.42,-70.43,-37.03,-10.13,-146.06,-139.14,32.04,18.3,3.27,-1.18,29.76,14.65,15.63,498,,,,,,,,,,,,,,,,,,
2481248,498_1,0.0055,-7.9,-4.87,0.92,-6.63,-9.18,1.91,-9.86,3.94,-4.91,-1.36,-2.09,0.07,-8.66,22.72,-2.84,-21.18,11.46,10.88,-11.02,-8.32,-22.41,6.11,-0.9,-0.73,2481248,-27.95,6.55,12.3,-9.6,-0.58,-62.33,20.25,50.42,31.38,-22.2,-10.85,8.62,-15.25,70.07,7.22,20.75,-10.13,-23.51,-0.27,33.22,-0.07,-9.61,65.33,-4.18,2481248,-61.31,1062.05,77.44,-53.15,-8.66,-29.29,-104.15,-41.23,15.86,31.7,-96.05,-27.2,-329.97,-436.24,236.56,8.55,-5.83,15.49,-39.14,966.82,-109.19,-8.21,0.15,41.6,-4.6,-9.44,0.64,-69.47,-28.75,0.98,-361.19,-228.74,49.24,24.83,3.66,6.81,34.56,6.91,8.85,498,,,,,,,,,,,,,,,,,,
2481249,498_1,0.0083,0.57,-10.56,0.39,10.75,-5.09,4.38,4.74,-5.02,-10.61,-2.7,-0.67,0.01,0.18,2.51,-1.96,8.47,3.08,5.59,5.66,8.76,-2.28,1.74,0.08,-0.42,2481249,-7.82,-25.36,-3.58,23.39,22.11,-14.59,5.98,-10.23,33.51,-6.09,-26.58,8.32,4.91,-5.34,-11.0,-31.3,23.81,10.18,1.31,-33.73,23.32,0.99,14.31,-4.86,2481249,-69.21,1055.29,77.86,-46.28,-14.76,-41.67,-95.27,-33.8,12.97,28.57,-86.89,-32.82,-293.32,-393.37,208.21,7.3,1.65,14.73,-42.05,1414.65,-161.23,-9.23,7.72,48.38,-12.36,-9.85,0.66,-66.56,-24.12,2.2,-525.7,-269.44,57.57,30.64,2.95,11.73,38.4,-1.02,2.48,498,,,,,,,,,,,,,,,,,,
2481250,498_1,0.0111,5.43,-12.98,-0.06,20.21,-2.36,5.25,12.87,-10.14,-13.04,-3.29,0.2,-0.01,5.25,-10.57,-1.26,26.43,-2.66,1.8,15.54,18.85,10.72,-1.11,0.6,-0.19,2481250,3.85,-42.48,-12.43,42.32,33.99,14.14,-1.97,-45.8,33.19,3.67,-33.84,7.65,16.11,-51.06,-21.71,-61.23,44.89,26.38,2.49,-70.54,39.83,6.72,-18.4,-4.69,2481250,-74.22,997.35,74.01,-37.32,-18.57,-50.75,-81.65,-23.05,8.75,28.17,-74.23,-39.04,-237.25,-340.62,177.02,5.43,7.87,12.38,-47.57,1715.87,-199.63,-9.72,13.56,57.28,-19.46,-8.41,0.55,-62.49,-23.02,-3.21,-649.92,-268.32,57.99,35.46,1.38,14.1,40.67,-8.33,-2.76,498,,,,,,,,,,,,,,,,,,
2481251,498_1,0.0139,7.35,-12.87,-0.41,23.47,-0.82,4.74,15.82,-12.38,-12.93,-3.3,0.63,0.0,7.16,-17.7,-0.7,34.71,-6.17,-0.73,19.83,23.15,17.79,-2.68,0.73,-0.04,2481251,8.64,-48.2,-15.71,50.67,37.44,27.23,-4.41,-61.51,31.56,8.18,-34.41,6.7,19.83,-71.96,-26.34,-73.08,55.53,28.05,3.34,-82.57,50.93,8.32,-35.86,-3.91,2481251,-77.06,877.93,65.12,-26.98,-19.59,-57.64,-65.26,-10.1,3.63,29.41,-59.29,-44.7,-173.8,-272.9,139.82,2.86,12.24,9.25,-54.25,1910.79,-227.97,-9.33,17.43,68.12,-25.73,-5.83,0.37,-58.08,-25.49,-11.71,-740.86,-236.39,52.4,38.86,-0.77,14.07,40.95,-14.21,-6.15,498,,,,,,,,,,,,,,,,,,
2481252,498_1,0.0167,7.13,-11.07,-0.64,22.44,-0.22,3.2,15.08,-12.7,-11.12,-2.9,0.71,0.03,6.71,-20.28,-0.24,35.73,-7.89,-2.28,19.98,23.11,20.31,-3.29,0.56,0.07,2481252,8.4,-46.19,-15.07,51.99,35.12,28.59,-2.55,-63.07,29.67,8.78,-30.33,5.54,17.92,-74.01,-26.53,-71.6,58.5,19.05,3.92,-76.35,58.06,6.74,-41.79,-2.77,2481252,-78.22,706.91,51.92,-16.19,-17.81,-62.77,-47.92,3.62,-1.83,31.68,-43.85,-48.87,-109.32,-193.49,97.86,-0.18,14.33,5.79,-60.84,2025.85,-248.28,-7.86,19.12,78.81,-30.49,-2.73,0.16,-54.05,-31.48,-20.02,-802.23,-186.49,43.1,40.37,-3.16,11.67,39.1,-18.01,-7.25,498,,,,,,,,,,,,,,,,,,
2481253,498_1,0.0194,5.54,-8.36,-0.74,18.94,-0.28,1.04,12.09,-11.96,-8.39,-2.25,0.56,0.06,4.76,-19.74,0.13,31.94,-8.29,-3.16,17.46,20.18,19.72,-3.25,0.2,0.14,2481253,4.95,-39.83,-12.17,49.29,29.68,22.11,2.13,-55.82,28.39,6.76,-23.53,4.2,12.3,-63.45,-23.89,-61.65,56.47,3.59,4.27,-58.73,62.37,3.07,-39.96,-1.54,2481253,-78.09,506.91,36.11,-6.01,-13.63,-65.89,-31.27,16.56,-7.01,34.69,-30.04,-50.96,-46.63,-110.18,54.73,-3.18,13.99,2.25,-66.26,2073.43,-261.05,-5.29,18.56,85.99,-32.89,0.4,-0.06,-50.96,-40.54,-25.62,-835.35,-131.08,32.28,39.7,-5.46,7.04,35.31,-19.34,-5.96,498,,,,,,,,,,,,,,,,,,
2481254,498_1,0.0222,3.27,-5.38,-0.73,14.44,-0.68,-1.33,8.17,-10.76,-5.4,-1.5,0.27,0.08,2.15,-17.39,0.47,25.62,-7.82,-3.59,13.6,15.74,17.3,-2.85,-0.25,0.2,2481254,-0.05,-31.81,-8.48,44.79,23.43,11.25,8.02,-44.15,28.29,3.32,-15.67,2.71,4.76,-46.11,-19.77,-47.66,51.64,-14.24,4.47,-36.03,64.58,-1.63,-33.81,-0.45,2481254,-77.16,304.01,19.71,2.59,-7.78,-66.34,-16.68,27.29,-11.33,38.11,-20.16,-50.71,11.91,-30.54,13.92,-5.6,11.42,-1.16,-69.75,2056.27,-265.76,-1.74,15.91,86.17,-32.24,3.21,-0.24,-49.14,-51.65,-27.1,-840.34,-80.37,21.66,36.8,-7.38,0.62,30.1,-18.13,-2.58,498,,,,,,,,,,,,,,,,,,
2481255,498_1,0.025,0.87,-2.61,-0.63,10.03,-1.12,-3.51,4.33,-9.49,-2.6,-0.76,-0.06,0.09,-0.45,-14.26,0.77,18.58,-6.87,-3.76,9.47,10.92,14.12,-2.32,-0.7,0.24,2481255,-5.29,-23.97,-5.15,39.84,18.2,-1.17,13.6,-31.31,29.64,-0.55,-8.02,1.09,-3.24,-26.91,-15.2,-33.26,45.6,-30.89,4.71,-13.54,64.99,-6.43,-26.16,0.37,2481255,-76.23,120.23,4.53,8.91,-1.12,-63.28,-5.22,34.72,-14.32,41.4,-16.16,-48.27,62.14,41.63,-22.91,-7.03,7.11,-4.19,-70.9,1974.18,-261.69,2.53,11.54,77.0,-28.33,5.64,-0.4,-48.65,-63.3,-24.34,-817.38,-41.26,12.29,32.03,-8.66,-6.74,24.18,-14.69,2.24,498,,,,,,,,,,,,,,,,,,
