jointforce_id,session_trial,time,elbow_force_x,elbow_force_y,elbow_force_z,shoulder_upper_arm_force_x,shoulder_upper_arm_force_y,shoulder_upper_arm_force_z,shoulder_thorax_force_x,shoulder_thorax_force_y,shoulder_thorax_force_z,wrist_force_x,wrist_force_y,wrist_force_z,glove_elbow_force_x,glove_elbow_force_y,glove_elbow_force_z,glove_shoulder_glove_upper_arm_force_x,glove_shoulder_glove_upper_arm_force_y,glove_shoulder_glove_upper_arm_force_z,glove_shoulder_thorax_force_x,glove_shoulder_thorax_force_y,glove_shoulder_thorax_force_z,glove_wrist_force_x,glove_wrist_force_y,glove_wrist_force_z
2481246,498_1,0.0,-96.57,122.49,68.16,-126.79,-83.54,-221.34,68.31,258.78,16.29,-75.68,49.72,7.92,-84.93,318.22,68.95,198.88,-121.41,-147.86,-4.94,266.9,-71.42,-46.29,227.72,0.16
2481247,498_1,0.0028,-57.51,55.62,36.15,-59.32,-35.66,-131.19,41.12,139.79,25.83,-45.38,14.52,8.49,-45.22,177.98,33.83,97.41,-58.48,-76.27,-2.34,133.44,-31.51,-25.41,136.48,-2.52
2481248,498_1,0.0055,-27.95,6.55,12.3,-9.6,-0.58,-62.33,20.25,50.42,31.38,-22.2,-10.85,8.62,-15.25,70.07,7.22,20.75,-10.13,-23.51,-0.27,33.22,-0.07,-9.61,65.33,-4.18
2481249,498_1,0.0083,-7.82,-25.36,-3.58,23.39,22.11,-14.59,5.98,-10.23,33.51,-6.09,-26.58,8.32,4.91,-5.34,-11.0,-31.3,23.81,10.18,1.31,-33.73,23.32,0.99,14.31,-4.86
2481250,498_1,0.0111,3.85,-42.48,-12.43,42.32,33.99,14.14,-1.97,-45.8,33.19,3.67,-33.84,7.65,16.11,-51.06,-21.71,-61.23,44.89,26.38,2.49,-70.54,39.83,6.72,-18.4,-4.69
2481251,498_1,0.0139,8.64,-48.2,-15.71,50.67,37.44,27.23,-4.41,-61.51,31.56,8.18,-34.41,6.7,19.83,-71.96,-26.34,-73.08,55.53,28.05,3.34,-82.57,50.93,8.32,-35.86,-3.91
2481252,498_1,0.0167,8.4,-46.19,-15.07,51.99,35.12,28.59,-2.55,-63.07,29.67,8.78,-30.33,5.54,17.92,-74.01,-26.53,-71.6,58.5,19.05,3.92,-76.35,58.06,6.74,-41.79,-2.77
2481253,498_1,0.0194,4.95,-39.83,-12.17,49.29,29.68,22.11,2.13,-55.82,28.39,6.76,-23.53,4.2,12.3,-63.45,-23.89,-61.65,56.47,3.59,4.27,-58.73,62.37,3.07,-39.96,-1.54
2481254,498_1,0.0222,-0.05,-31.81,-8.48,44.79,23.43,11.25,8.02,-44.15,28.29,3.32,-15.67,2.71,4.76,-46.11,-19.77,-47.66,51.64,-14.24,4.47,-36.03,64.58,-1.63,-33.81,-0.45
2481255,498_1,0.025,-5.29,-23.97,-5.15,39.84,18.2,-1.17,13.6,-31.31,29.64,-0.55,-8.02,1.09,-3.24,-26.91,-15.2,-33.26,45.6,-30.89,4.71,-13.54,64.99,-6.43,-26.16,0.37
2481256,498_1,0.0278,-9.79,-17.34,-2.96,35.08,15.19,-13.07,17.59,-19.44,32.36,-4.04,-1.47,-0.6,-10.6,-9.6,-10.79,-21.19,39.22,-43.65,5.27,4.85,63.54,-10.62,-19.08,0.85
2481257,498_1,0.0306,-12.93,-12.31,-2.27,30.69,14.98,-23.03,19.14,-9.75,36.14,-6.53,3.42,-2.22,-16.65,3.33,-6.82,-13.15,32.81,-50.88,6.53,16.82,60.06,-13.74,-13.82,1.03
2481258,498_1,0.0333,-14.4,-8.85,-3.07,26.6,17.52,-30.21,17.9,-2.73,40.45,-7.62,6.34,-3.6,-21.04,10.67,-3.27,-9.89,26.3,-51.99,8.83,21.51,54.4,-15.57,-10.93,1.03
2481259,498_1,0.0361,-14.15,-6.73,-5.06,22.68,22.26,-34.3,14.01,1.6,44.65,-7.11,7.25,-4.53,-23.69,12.27,-0.05,-11.32,19.51,-47.34,12.35,19.28,46.62,-16.12,-10.32,0.96
2481260,498_1,0.0389,-12.38,-5.62,-7.74,18.89,28.33,-35.37,8.06,3.53,48.14,-5.09,6.32,-4.88,-24.67,8.8,2.98,-16.71,12.36,-38.04,17.06,11.4,37.09,-15.53,-11.51,0.98
2481261,498_1,0.0417,-9.5,-5.18,-10.57,15.26,34.73,-33.81,0.9,3.51,50.41,-1.89,3.98,-4.6,-24.16,1.47,5.86,-24.87,5.03,-25.63,22.61,-0.34,26.47,-14.06,-13.79,1.18
2481262,498_1,0.0444,-6.05,-5.11,-13.1,11.93,40.52,-30.29,-6.49,2.09,51.22,1.89,0.87,-3.82,-22.42,-8.26,8.52,-34.4,-2.03,-11.81,28.4,-14.0,15.67,-12.01,-16.41,1.59
2481263,498_1,0.0472,-2.64,-5.11,-15.01,9.08,45.02,-25.6,-13.22,-0.15,50.6,5.53,-2.25,-2.81,-19.76,-18.91,10.79,-43.88,-8.18,1.76,33.67,-27.7,5.68,-9.69,-18.73,2.17
2481264,498_1,0.05,0.12,-4.97,-16.2,6.88,47.85,-20.58,-18.57,-2.7,48.82,8.27,-4.59,-1.91,-16.59,-29.1,12.46,-52.03,-12.76,13.64,37.67,-39.84,-2.53,-7.38,-20.27,2.84
2481265,498_1,0.0528,1.79,-4.52,-16.74,5.43,48.96,-15.98,-22.14,-5.13,46.34,9.53,-5.58,-1.46,-13.35,-37.66,13.33,-57.77,-15.22,22.74,39.73,-49.13,-8.21,-5.33,-20.75,3.48
2481266,498_1,0.0556,2.14,-3.69,-16.82,4.74,48.54,-12.33,-23.82,-7.13,43.6,9.05,-4.92,-1.66,-10.52,-43.64,13.27,-60.36,-15.26,28.33,39.44,-54.69,-10.92,-3.73,-20.01,3.94
2481267,498_1,0.0583,1.24,-2.54,-16.68,4.72,46.95,-9.86,-23.8,-8.54,40.97,6.94,-2.76,-2.55,-8.51,-46.34,12.22,-59.34,-12.85,30.08,36.59,-56.03,-10.54,-2.68,-18.01,4.12
2481268,498_1,0.0611,-0.6,-1.26,-16.51,5.19,44.57,-8.55,-22.47,-9.34,38.64,3.67,0.38,-3.96,-7.66,-45.33,10.22,-54.62,-8.2,28.05,31.27,-53.1,-7.25,-2.25,-14.74,3.93
2481269,498_1,0.0639,-2.91,-0.11,-16.39,5.92,41.74,-8.14,-20.3,-9.62,36.63,-0.04,3.72,-5.53,-8.11,-40.49,7.35,-46.47,-1.7,22.66,23.75,-46.23,-1.47,-2.45,-10.25,3.34
2481270,498_1,0.0667,-5.14,0.63,-16.32,6.71,38.77,-8.3,-17.76,-9.51,34.87,-3.45,6.44,-6.86,-9.85,-32.09,3.75,-35.53,6.19,14.5,14.53,-36.17,6.29,-3.23,-4.7,2.38
2481271,498_1,0.0694,-6.88,0.75,-16.2,7.43,35.94,-8.73,-15.24,-9.2,33.35,-5.93,7.87,-7.6,-12.71,-20.86,-0.44,-22.76,15.0,4.31,4.31,-23.92,15.52,-4.5,1.57,1.1
2481272,498_1,0.0722,-7.89,0.19,-15.98,8.02,33.55,-9.31,-13.01,-8.84,32.2,-7.14,7.68,-7.56,-16.4,-7.92,-4.99,-9.42,24.26,-7.22,-6.02,-10.67,25.83,-6.14,8.01,-0.39
2481273,498_1,0.075,-8.17,-0.91,-15.63,8.54,31.98,-10.09,-11.24,-8.57,31.72,-7.05,6.01,-6.78,-20.59,5.27,-9.65,3.08,33.52,-19.54,-15.43,2.36,36.91,-8.0,13.85,-1.94
2481274,498_1,0.0778,-7.91,-2.29,-15.22,9.13,31.59,-11.28,-10.0,-8.48,32.36,-5.93,3.32,-5.5,-24.94,17.13,-14.1,13.39,42.3,-32.18,-22.89,14.13,48.53,-9.88,18.25,-3.4
2481275,498_1,0.0806,-7.44,-3.62,-14.89,9.98,32.67,-13.14,-9.25,-8.66,34.53,-4.22,0.3,-4.07,-29.14,26.25,-18.0,20.45,50.12,-44.76,-27.52,23.8,60.36,-11.6,20.47,-4.63
2481276,498_1,0.0833,-7.07,-4.59,-14.72,11.29,35.33,-15.79,-8.86,-9.2,38.43,-2.36,-2.36,-2.82,-32.94,31.7,-21.02,23.68,56.51,-56.86,-28.83,30.92,71.95,-13.0,20.09,-5.5
2481277,498_1,0.0861,-7.01,-5.07,-14.74,13.24,39.35,-19.16,-8.64,-10.21,43.89,-0.72,-4.22,-1.98,-36.15,33.2,-22.92,23.12,61.09,-67.97,-26.81,35.36,82.68,-13.95,17.17,-5.96
2481278,498_1,0.0889,-7.3,-5.11,-14.86,15.94,44.16,-22.83,-8.36,-11.82,50.27,0.52,-5.15,-1.58,-38.62,31.19,-23.55,19.42,63.64,-77.44,-22.04,37.29,91.76,-14.42,12.29,-6.0
2481279,498_1,0.0917,-7.8,-4.91,-14.86,19.35,48.92,-26.13,-7.83,-14.14,56.52,1.34,-5.33,-1.49,-40.25,26.69,-22.96,13.7,64.15,-84.56,-15.56,37.1,98.42,-14.46,6.4,-5.65
2481280,498_1,0.0944,-8.24,-4.74,-14.45,23.22,52.61,-28.26,-6.92,-17.12,61.32,1.85,-5.16,-1.44,-40.95,21.02,-21.32,7.29,62.85,-88.67,-8.68,35.26,102.01,-14.18,0.61,-5.01
2481281,498_1,0.0972,-8.34,-4.82,-13.38,27.08,54.23,-28.45,-5.63,-20.57,63.36,2.21,-5.04,-1.17,-40.64,15.46,-18.94,1.41,60.15,-89.26,-2.69,32.22,102.12,-13.65,-4.15,-4.19
2481282,498_1,0.1,-7.85,-5.19,-11.49,30.28,53.06,-26.19,-4.1,-24.02,61.65,2.55,-5.27,-0.5,-39.22,10.95,-16.2,-3.02,56.54,-86.09,1.37,28.31,98.69,-12.95,-7.32,-3.29
2481283,498_1,0.1028,-6.67,-5.73,-8.78,32.03,48.7,-21.4,-2.61,-26.83,55.7,2.97,-5.88,0.61,-36.62,7.85,-13.46,-5.63,52.45,-79.25,3.02,23.71,91.94,-12.09,-8.84,-2.41
2481284,498_1,0.1056,-4.84,-6.12,-5.41,31.62,41.27,-14.45,-1.45,-28.27,45.65,3.48,-6.64,2.04,-32.83,6.01,-10.99,-6.62,48.15,-69.17,2.37,18.46,82.38,-11.03,-9.12,-1.59
2481285,498_1,0.1083,-2.55,-5.94,-1.69,28.53,31.28,-6.12,-0.88,-27.64,32.3,4.08,-7.1,3.55,-27.95,4.83,-8.91,-6.62,43.68,-56.59,0.12,12.55,70.67,-9.77,-8.8,-0.86
2481286,498_1,0.1111,-0.06,-4.79,2.02,22.59,19.6,2.49,-1.03,-24.46,16.96,4.71,-6.67,4.8,-22.25,3.56,-7.19,-6.49,38.89,-42.52,-2.64,6.02,57.61,-8.32,-8.56,-0.18
2481287,498_1,0.1139,2.25,-2.36,5.33,14.06,7.31,10.16,-1.87,-18.56,1.26,5.29,-4.81,5.48,-16.14,1.58,-5.7,-7.05,33.51,-28.16,-4.73,-0.89,44.02,-6.73,-8.82,0.48
2481288,498_1,0.1167,4.01,1.46,7.92,3.57,-4.45,15.72,-3.19,-10.11,-13.08,5.7,-1.13,5.33,-10.15,-1.43,-4.24,-8.84,27.35,-14.75,-5.15,-7.78,30.78,-5.08,-9.69,1.15
2481289,498_1,0.1194,4.82,6.53,9.56,-7.9,-14.57,18.22,-4.64,0.34,-24.42,5.74,4.42,4.25,-4.77,-5.35,-2.67,-11.95,20.38,-3.41,-3.35,-14.05,18.69,-3.48,-10.91,1.82
2481290,498_1,0.1222,4.31,12.4,10.11,-19.14,-22.07,17.04,-5.85,11.89,-31.41,5.14,11.48,2.31,-0.43,-9.74,-0.96,-16.06,12.85,4.98,0.64,-19.06,8.49,-1.96,-12.01,2.44
2481291,498_1,0.125,2.2,18.36,9.56,-28.79,-26.13,12.03,-6.44,23.36,-33.06,3.64,19.21,-0.24,2.66,-13.96,0.82,-20.57,5.3,10.0,6.29,-22.35,0.73,-0.53,-12.48,2.95
2481292,498_1,0.1278,-1.67,23.44,7.95,-35.54,-26.18,3.5,-6.13,33.36,-28.89,0.97,26.4,-3.0,4.48,-17.39,2.46,-24.78,-1.56,11.7,12.69,-23.74,-4.28,0.88,-11.97,3.25
2481293,498_1,0.1306,-7.25,26.58,5.45,-38.18,-21.89,-7.77,-4.8,40.45,-18.93,-2.97,31.62,-5.44,5.22,-19.59,3.76,-28.17,-7.0,10.55,18.8,-23.41,-6.48,2.33,-10.38,3.3
2481294,498_1,0.1333,-14.23,26.82,2.25,-35.91,-13.33,-20.59,-2.47,43.33,-3.84,-8.09,33.51,-7.1,5.13,-20.38,4.53,-30.4,-10.37,7.35,23.72,-21.87,-6.06,3.83,-7.85,3.09
2481295,498_1,0.1361,-22.05,23.52,-1.42,-28.43,-0.94,-33.55,0.61,41.14,15.19,-14.02,31.07,-7.57,4.48,-19.81,4.66,-31.45,-11.25,2.98,26.79,-19.75,-3.36,5.29,-4.7,2.65
2481296,498_1,0.1389,-29.92,16.55,-5.29,-16.16,14.39,-45.17,4.06,33.63,36.45,-20.15,23.97,-6.69,3.42,-18.08,4.22,-31.45,-9.54,-1.8,27.71,-17.66,1.17,6.5,-1.29,2.09
2481297,498_1,0.1417,-36.95,6.43,-9.11,-0.27,31.35,-54.19,7.37,21.37,57.93,-25.67,12.68,-4.51,1.95,-15.45,3.34,-30.58,-5.42,-6.44,26.49,-15.96,7.07,7.13,2.1,1.51
2481298,498_1,0.1444,-42.29,-5.7,-12.58,17.48,48.29,-59.73,10.1,5.74,77.5,-29.79,-1.49,-1.35,0.0,-12.14,2.24,-28.96,0.67,-10.69,23.39,-14.72,13.87,6.87,5.33,1.02
2481299,498_1,0.1472,-45.27,-18.27,-15.44,34.95,63.44,-61.45,11.91,-11.28,93.2,-31.83,-16.61,2.31,-2.56,-8.33,1.13,-26.6,8.12,-14.5,18.73,-13.72,21.12,5.44,8.39,0.67
2481300,498_1,0.15,-45.51,-29.52,-17.39,50.0,75.08,-59.59,12.71,-27.4,103.51,-31.43,-30.45,5.9,-5.72,-4.21,0.14,-23.4,16.25,-17.91,12.91,-12.63,28.39,2.79,11.32,0.44
2481301,498_1,0.1528,-43.0,-37.85,-18.22,60.88,81.83,-54.84,12.66,-40.45,107.53,-28.56,-40.92,8.85,-9.35,0.04,-0.73,-19.29,24.44,-20.95,6.26,-11.11,35.25,-0.89,14.13,0.28
2481302,498_1,0.1556,-38.07,-42.06,-17.82,66.45,82.91,-48.16,12.05,-48.79,105.1,-23.59,-46.4,10.71,-13.1,4.14,-1.6,-14.25,32.24,-23.57,-0.98,-9.01,41.36,-5.15,16.73,0.07
2481303,498_1,0.1583,-31.35,-41.56,-16.24,66.37,78.28,-40.54,11.16,-51.58,96.76,-17.17,-46.06,11.16,-16.5,7.72,-2.69,-8.43,39.4,-25.62,-8.6,-6.41,46.49,-9.33,18.89,-0.28
2481304,498_1,0.1611,-23.66,-36.42,-13.75,60.98,68.75,-32.82,10.1,-48.88,83.73,-10.17,-39.96,10.07,-19.08,10.43,-4.21,-2.11,45.89,-26.96,-16.42,-3.61,50.57,-12.73,20.3,-0.86
2481305,498_1,0.1639,-15.92,-27.3,-10.81,51.2,55.89,-25.59,8.73,-41.53,67.71,-3.53,-29.0,7.5,-20.46,12.03,-6.3,4.27,51.8,-27.48,-24.24,-1.01,53.69,-14.75,20.67,-1.69
2481306,498_1,0.1667,-9.11,-15.32,-7.98,38.22,41.83,-19.22,6.62,-30.9,50.75,1.8,-14.68,3.68,-20.52,12.46,-8.93,10.27,57.28,-27.25,-31.8,1.02,56.09,-15.05,19.81,-2.71
2481307,498_1,0.1694,-4.15,-1.81,-5.83,23.31,28.87,-14.01,3.2,-18.48,34.95,4.96,1.17,-1.01,-19.48,11.91,-11.87,15.43,62.38,-26.5,-38.73,2.27,58.07,-13.67,17.77,-3.79
2481308,498_1,0.1722,-1.81,11.89,-4.79,7.55,19.15,-10.27,-2.06,-5.61,22.29,5.33,16.73,-6.06,-17.8,10.8,-14.72,19.38,67.0,-25.61,-44.54,2.7,59.88,-11.01,14.81,-4.76
2481309,498_1,0.175,-2.61,24.64,-5.05,-8.23,14.2,-8.36,-9.42,6.82,14.31,2.58,30.51,-10.94,-16.16,9.67,-16.98,21.81,70.86,-24.96,-48.68,2.41,61.68,-7.74,11.39,-5.42
2481310,498_1,0.1778,-6.69,35.62,-6.49,-23.46,14.66,-8.7,-18.76,18.4,11.87,-3.17,41.53,-15.1,-15.21,8.99,-18.22,22.44,73.59,-24.87,-50.63,1.5,63.44,-4.66,8.01,-5.62
2481311,498_1,0.1806,-25.1,-10.84,-9.88,14.48,48.12,-54.53,-1.82,-0.94,74.49,-6.07,-4.27,-1.53,-8.92,-5.03,-14.56,-16.29,52.96,-6.25,-18.02,-29.15,42.81,1.34,-4.87,-0.9
2481312,498_1,0.1833,-22.88,50.95,-10.97,-50.82,29.13,-16.95,-40.35,39.24,22.54,-20.77,54.42,-19.44,-16.86,9.42,-16.76,17.05,74.03,-26.29,-46.16,-2.36,65.87,-1.41,3.0,-4.36
2481313,498_1,0.1861,-32.84,55.52,-12.53,-62.28,39.44,-24.42,-50.09,48.88,32.83,-29.97,57.13,-18.96,-19.2,9.75,-14.26,10.39,71.11,-27.09,-39.3,-5.9,65.63,-1.56,1.53,-3.01
2481314,498_1,0.1889,-42.03,58.54,-12.6,-71.65,48.41,-33.09,-57.14,58.05,43.39,-37.17,58.41,-16.47,-21.66,9.04,-11.05,0.76,65.86,-27.18,-29.36,-11.04,63.73,-2.4,0.35,-1.36
2481315,498_1,0.1917,-48.85,60.41,-10.57,-78.31,53.52,-41.75,-60.13,66.37,51.72,-40.69,59.01,-11.99,-23.18,6.26,-7.55,-11.75,58.23,-25.99,-16.64,-18.0,59.71,-3.1,-1.17,0.41
2481316,498_1,0.1944,-51.97,61.39,-6.22,-81.56,52.95,-49.1,-58.16,73.17,55.73,-39.29,59.38,-5.74,-22.68,0.59,-4.1,-26.64,48.3,-23.26,-1.65,-26.55,53.35,-2.68,-3.75,2.18
2481317,498_1,0.1972,-50.65,61.42,0.22,-80.68,46.07,-54.01,-50.96,77.46,54.32,-32.48,59.47,1.84,-19.27,-8.24,-0.86,-42.83,36.25,-19.13,14.83,-35.9,44.72,-0.25,-7.97,3.88
2481318,498_1,0.2,-44.91,60.11,8.0,-75.12,33.62,-55.75,-39.03,78.16,47.61,-20.71,58.69,10.05,-12.53,-19.73,2.21,-58.64,22.49,-14.19,31.68,-44.69,34.27,4.75,-14.0,5.52
2481319,498_1,0.2028,-35.54,56.83,15.91,-64.56,17.76,-54.16,-23.64,74.24,37.05,-5.4,56.08,17.95,-2.67,-32.44,5.22,-71.96,7.76,-9.36,47.48,-51.15,22.88,12.32,-21.44,7.08
2481320,498_1,0.2056,-23.96,50.84,22.44,-49.08,1.57,-49.59,-6.62,64.95,25.09,11.35,50.53,24.47,9.42,-44.16,8.28,-80.44,-6.87,-5.74,60.5,-53.46,11.7,21.83,-29.14,8.54
2481321,498_1,0.2083,-11.86,41.53,26.12,-29.21,-11.51,-42.8,9.94,50.02,14.57,27.13,41.15,28.53,22.33,-52.21,11.38,-81.96,-19.98,-4.33,68.91,-50.09,2.14,32.04,-35.39,9.78
2481322,498_1,0.2111,-0.85,28.62,25.76,-5.9,-18.54,-34.73,24.07,29.75,8.08,39.72,27.57,29.26,34.27,-53.95,14.33,-74.99,-30.02,-5.88,71.11,-40.18,-4.43,41.27,-38.19,10.59
2481323,498_1,0.2139,8.02,12.33,20.81,19.51,-17.82,-26.23,34.33,5.08,7.2,47.64,10.19,26.17,43.47,-47.41,16.78,-59.07,-35.52,-10.75,66.06,-23.8,-6.82,47.71,-35.77,10.75
2481324,498_1,0.2167,14.43,-6.63,11.51,45.5,-9.35,-17.88,40.07,-22.5,12.08,50.4,-9.83,19.34,48.44,-31.9,18.39,-35.08,-35.48,-18.84,53.69,-2.05,-4.28,49.78,-27.09,10.07
2481325,498_1,0.2194,18.89,-27.06,-1.01,70.44,5.09,-9.92,41.59,-51.02,21.36,48.62,-30.69,9.49,48.3,-8.33,18.94,-5.28,-29.61,-29.64,35.13,23.02,3.35,46.46,-12.31,8.53
2481326,498_1,0.2222,22.52,-47.47,-14.88,92.75,22.26,-2.32,39.99,-78.24,32.47,43.8,-50.23,-2.04,42.88,20.72,18.51,26.83,-18.56,-42.29,12.7,48.7,15.54,37.55,7.08,6.39
