velo_id,session_trial,time,elbow_velo_x,elbow_velo_y,elbow_velo_z,rear_hip_velo_x,rear_hip_velo_y,rear_hip_velo_z,rear_knee_velo_x,rear_knee_velo_y,rear_knee_velo_z,shoulder_velo_x,shoulder_velo_y,shoulder_velo_z,wrist_velo_x,wrist_velo_y,wrist_velo_z,pelvis_velo_x,pelvis_velo_y,pelvis_velo_z,glove_elbow_velo_x,glove_elbow_velo_y,glove_elbow_velo_z,lead_hip_velo_x,lead_hip_velo_y,lead_hip_velo_z,lead_knee_velo_x,lead_knee_velo_y,lead_knee_velo_z,glove_shoulder_velo_x,glove_shoulder_velo_y,glove_shoulder_velo_z,glove_wrist_velo_x,glove_wrist_velo_y,glove_wrist_velo_z,torso_velo_x,torso_velo_y,torso_velo_z,torso_pelvis_velo_x,torso_pelvis_velo_y,torso_pelvis_velo_z
2481246,498_1,0.0,-32.76,1068.68,74.18,-59.77,6.86,12.41,-100.42,-43.36,16.65,53.0,-101.09,-22.43,-270.28,-557.63,321.17,11.26,-21.96,7.35,-47.36,-565.21,54.44,-6.52,-19.61,26.87,16.01,0.51,-0.06,-68.81,-49.42,-33.71,132.01,1.41,6.18,11.13,1.66,-13.05,24.63,21.61,22.15
2481247,498_1,0.0028,-49.52,1050.12,75.06,-57.62,-1.11,-11.93,-106.38,-44.54,17.12,39.19,-100.91,-23.36,-329.3,-483.83,270.25,9.64,-13.9,13.49,-40.39,323.14,-38.87,-7.14,-8.97,35.32,4.43,-6.31,0.42,-70.43,-37.03,-10.13,-146.06,-139.14,32.04,18.3,3.27,-1.18,29.76,14.65,15.63
2481248,498_1,0.0055,-61.31,1062.05,77.44,-53.15,-8.66,-29.29,-104.15,-41.23,15.86,31.7,-96.05,-27.2,-329.97,-436.24,236.56,8.55,-5.83,15.49,-39.14,966.82,-109.19,-8.21,0.15,41.6,-4.6,-9.44,0.64,-69.47,-28.75,0.98,-361.19,-228.74,49.24,24.83,3.66,6.81,34.56,6.91,8.85
2481249,498_1,0.0083,-69.21,1055.29,77.86,-46.28,-14.76,-41.67,-95.27,-33.8,12.97,28.57,-86.89,-32.82,-293.32,-393.37,208.21,7.3,1.65,14.73,-42.05,1414.65,-161.23,-9.23,7.72,48.38,-12.36,-9.85,0.66,-66.56,-24.12,2.2,-525.7,-269.44,57.57,30.64,2.95,11.73,38.4,-1.02,2.48
2481250,498_1,0.0111,-74.22,997.35,74.01,-37.32,-18.57,-50.75,-81.65,-23.05,8.75,28.17,-74.23,-39.04,-237.25,-340.62,177.02,5.43,7.87,12.38,-47.57,1715.87,-199.63,-9.72,13.56,57.28,-19.46,-8.41,0.55,-62.49,-23.02,-3.21,-649.92,-268.32,57.99,35.46,1.38,14.1,40.67,-8.33,-2.76
2481251,498_1,0.0139,-77.06,877.93,65.12,-26.98,-19.59,-57.64,-65.26,-10.1,3.63,29.41,-59.29,-44.7,-173.8,-272.9,139.82,2.86,12.24,9.25,-54.25,1910.79,-227.97,-9.33,17.43,68.12,-25.73,-5.83,0.37,-58.08,-25.49,-11.71,-740.86,-236.39,52.4,38.86,-0.77,14.07,40.95,-14.21,-6.15
2481252,498_1,0.0167,-78.22,706.91,51.92,-16.19,-17.81,-62.77,-47.92,3.62,-1.83,31.68,-43.85,-48.87,-109.32,-193.49,97.86,-0.18,14.33,5.79,-60.84,2025.85,-248.28,-7.86,19.12,78.81,-30.49,-2.73,0.16,-54.05,-31.48,-20.02,-802.23,-186.49,43.1,40.37,-3.16,11.67,39.1,-18.01,-7.25
2481253,498_1,0.0194,-78.09,506.91,36.11,-6.01,-13.63,-65.89,-31.27,16.56,-7.01,34.69,-30.04,-50.96,-46.63,-110.18,54.73,-3.18,13.99,2.25,-66.26,2073.43,-261.05,-5.29,18.56,85.99,-32.89,0.4,-0.06,-50.96,-40.54,-25.62,-835.35,-131.08,32.28,39.7,-5.46,7.04,35.31,-19.34,-5.96
2481254,498_1,0.0222,-77.16,304.01,19.71,2.59,-7.78,-66.34,-16.68,27.29,-11.33,38.11,-20.16,-50.71,11.91,-30.54,13.92,-5.6,11.42,-1.16,-69.75,2056.27,-265.76,-1.74,15.91,86.17,-32.24,3.21,-0.24,-49.14,-51.65,-27.1,-840.34,-80.37,21.66,36.8,-7.38,0.62,30.1,-18.13,-2.58
2481255,498_1,0.025,-76.23,120.23,4.53,8.91,-1.12,-63.28,-5.22,34.72,-14.32,41.4,-16.16,-48.27,62.14,41.63,-22.91,-7.03,7.11,-4.19,-70.9,1974.18,-261.69,2.53,11.54,77.0,-28.33,5.64,-0.4,-48.65,-63.3,-24.34,-817.38,-41.26,12.29,32.03,-8.66,-6.74,24.18,-14.69,2.24
2481256,498_1,0.0278,-76.31,-30.17,-8.15,12.65,5.51,-56.13,2.48,38.31,-15.77,43.76,-19.15,-44.11,97.59,106.96,-56.28,-7.26,1.76,-6.49,-69.7,1829.52,-248.57,7.19,5.97,58.13,-21.48,7.9,-0.55,-49.34,-73.73,-18.34,-767.29,-17.04,4.67,26.03,-9.1,-13.94,18.36,-9.58,7.66
2481257,498_1,0.0306,-78.43,-140.31,-17.5,13.89,11.49,-44.83,6.32,38.16,-15.7,44.36,-29.05,-38.92,111.37,168.32,-87.77,-6.32,-3.83,-7.69,-66.48,1628.53,-226.71,11.79,-0.27,31.43,-12.54,10.44,-0.71,-50.84,-81.35,-10.89,-691.31,-7.77,-1.18,19.61,-8.62,-19.86,13.38,-3.52,12.84
2481258,498_1,0.0333,-83.27,-207.65,-22.88,12.98,16.42,-30.01,6.64,34.88,-14.35,42.69,-44.49,-33.5,99.46,227.08,-118.08,-4.36,-8.99,-7.53,-61.83,1378.47,-196.48,15.77,-6.75,0.52,-2.77,13.72,-0.93,-52.64,-85.18,-3.98,-590.5,-11.17,-5.47,13.55,-7.24,-23.6,9.78,2.78,17.11
2481259,498_1,0.0361,-90.8,-231.01,-23.68,10.26,20.17,-12.96,4.08,29.36,-12.08,38.91,-63.02,-28.7,63.8,279.84,-145.46,-1.52,-13.28,-5.95,-56.4,1083.63,-157.84,18.42,-13.2,-30.33,6.36,17.92,-1.21,-54.21,-85.13,0.62,-465.51,-23.64,-8.52,8.36,-5.1,-24.82,7.9,8.76,20.14
2481260,498_1,0.0389,-100.17,-209.46,-19.27,5.87,22.81,4.67,-0.65,22.53,-9.27,33.88,-81.65,-25.28,13.5,317.68,-165.23,2.14,-16.58,-3.07,-50.89,744.07,-110.17,18.93,-19.48,-57.2,13.37,22.76,-1.54,-55.1,-81.95,1.81,-317.55,-41.07,-10.64,4.18,-2.46,-23.71,7.81,14.05,22.02
2481261,498_1,0.0417,-109.85,-143.73,-9.31,-0.29,24.43,21.26,-7.02,15.11,-6.2,29.01,-97.54,-23.81,-36.83,328.56,-171.08,6.64,-18.98,0.84,-46.08,358.9,-52.81,16.53,-25.47,-77.39,16.98,27.38,-1.86,-55.02,-77.02,-0.76,-150.25,-59.36,-12.05,0.84,0.31,-20.96,9.35,18.39,23.15
2481262,498_1,0.0444,-118.15,-38.94,5.84,-8.4,25.09,35.47,-14.71,7.6,-3.08,25.74,-108.69,-24.45,-71.33,302.07,-157.45,12.01,-20.62,5.43,-42.83,-68.18,14.06,10.78,-30.82,-89.65,16.43,30.57,-2.08,-53.94,-71.9,-6.78,28.66,-74.63,-12.85,-2.08,2.86,-17.44,12.12,21.6,24.09
