athlete_name,session_trial,outlier_count
Will Montgomerie,2756_2,3496
Will Montgomerie,2756_6,3471
Will Montgomerie,2756_4,3467
Will Montgomerie,2756_10,3399
Will Montgomerie,2756_3,3262
Will Montgomerie,2756_7,3247
Will Montgomerie,2756_9,3218
Will Montgomerie,2756_11,3134
Will Montgomerie,2756_5,3129
Will Montgomerie,2756_8,3063
Alex Edgar,2762_6,3026
Alex Edgar,2762_2,2962
Will Montgomerie,2756_1,2955
Brody Vigansky,2760_6,2928
Alex Edgar,2762_8,2834
Alex Edgar,2762_3,2787
Alex Edgar,2762_5,2775
Alex Edgar,2762_1,2772
Alex Edgar,2762_4,2751
Brady Pearson,2761_8,2737
Brody Vigansky,2760_3,2704
James Zajac,2759_3,2704
Brady Pearson,2761_4,2659
Josh Hejka,2757_8,2657
Josiah Miller,2764_8,2636
Brady Pearson,2761_5,2627
Josh Hejka,2757_29,2609
Alex Edgar,2762_7,2592
James Zajac,2759_4,2563
Brady Pearson,2761_6,2552
Brady Pearson,2761_7,2548
Josiah Miller,2764_6,2518
Josh Hejka,2757_6,2514
James Zajac,2759_2,2511
Brady Pearson,2761_3,2511
Cameron Madsen,2766_4,2510
Brady Pearson,2761_2,2499
Josh Hejka,2757_24,2484
James Zajac,2759_5,2470
Josh Hejka,2757_11,2467
Josiah Miller,2764_7,2466
James Zajac,2759_6,2463
Brody Vigansky,2760_4,2458
Josiah Miller,2764_5,2456
Brody Vigansky,2760_1,2442
Brady Pearson,2761_1,2413
Brody Vigansky,2760_5,2413
Josh Hejka,2757_16,2410
Josh Hejka,2757_22,2408
Josh Hejka,2757_19,2398
Josh Hejka,2757_20,2387
Josh Hejka,2757_14,2382
Josh Hejka,2757_9,2365
Josiah Miller,2764_2,2364
Josiah Miller,2764_3,2360
Josiah Miller,2764_4,2358
Josh Hejka,2757_25,2356
Josh Hejka,2757_7,2352
Josh Hejka,2757_28,2344
Josh Hejka,2757_15,2342
Josh Hejka,2757_18,2342
Josh Hejka,2757_13,2336
James Zajac,2759_1,2334
Josh Hejka,2757_17,2331
Brody Vigansky,2760_2,2330
Josh Hejka,2757_12,2330
Josh Hejka,2757_5,2328
Josh Hejka,2757_4,2312
Cameron Madsen,2766_5,2305
Everett Roberts,2758_7,2299
Everett Roberts,2758_6,2296
Josh Hejka,2757_23,2293
Everett Roberts,2758_1,2280
Josh Hejka,2757_31,2274
Josh Hejka,2757_27,2269
Josh Hejka,2757_21,2251
Josiah Miller,2764_1,2240
Luke Miller,2765_9,2239
Josh Hejka,2757_26,2227
Jared Skolnicki,2763_1,2220
Josh Hejka,2757_30,2211
Josh Hejka,2757_3,2197
Cameron Madsen,2766_8,2194
Cameron Madsen,2766_7,2182
Luke Miller,2765_4,2168
Luke Miller,2765_6,2161
Josh Hejka,2757_10,2151
Luke Miller,2765_5,2145
Josh Hejka,2757_1,2137
Everett Roberts,2758_5,2128
Luke Miller,2765_2,2112
Cameron Madsen,2766_2,2097
Luke Miller,2765_1,2094
Cameron Madsen,2766_6,2077
Everett Roberts,2758_2,2075
Cameron Madsen,2766_1,2070
Luke Miller,2765_7,2029
Everett Roberts,2758_4,2027
Luke Miller,2765_3,2007
Leon Santiago,2767_1,2002
Cameron Madsen,2766_3,1996
Everett Roberts,2758_3,1966
Luke Miller,2765_8,1935
Leon Santiago,2767_2,1848
Leon Santiago,2767_7,1769
Leon Santiago,2767_3,1714
Leon Santiago,2767_4,1712
Leon Santiago,2767_8,1638
Leon Santiago,2767_6,1542
Leon Santiago,2767_5,1453
